"Source:","C:\Users\Bkb61\OneDrive\Documents\School_Work\Capstone\ChargeController\ChargeController_Main\ChargeController_Main.kicad_sch"
"Date:","2/14/2024 12:39:02 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","56"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","3","C1, C2, C3","10u","Device:C","ChargeController_Main_Library:CAPPRD250W65D630H900","~","","","","","","","",""
"2","1","C4","4n","Device:C","Capacitor_THT:C_Disc_D14.5mm_W5.0mm_P7.50mm","~","","","","","","","",""
"3","3","C5, C16, C17","5u","Device:C","Capacitor_THT:C_Radial_D6.3mm_H7.0mm_P2.50mm","~","","","","","","","",""
"4","1","C6","50p","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","",""
"5","2","C7, C8","0.22u","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","","","","","","","",""
"6","1","C9","150u","Device:C","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","",""
"7","1","C10","22n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"8","2","C11, C12","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"9","1","C13","1n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"10","1","C14","10n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"11","1","C15","680p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"12","1","D1","D_Schottky","Device:D_Schottky","ChargeController_Main_Library:SOD3716X145N","~","","","","","","","",""
"13","1","D2","RFN10BM3STL","Main_Charge_Controller_Symbols:RFN10BM3STL","ChargeController_Main_Library:RD3P175SNFRATL","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/fast_recovery/rfn10bm3s-e.pdf","","","","","ROHM Semiconductor","RFN10BM3STL","755-RFN10BM3STL","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/RFN10BM3STL?qs=yrxrYnY23DGBeQPMkvckXg%3D%3D"
"14","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2","~","","","","","","","",""
"15","1","IC1","ACS724LLCTR-05AU-T","Main_Charge_Controller_Symbols:ACS724LLCTR-05AU-T","ChargeController_Main_Library:SOIC127P600X175-8N","https://www.allegromicro.com/~/media/files/datasheets/acs724-datasheet.pdf","","ACS724LLCTR-05AU-T","https://www.arrow.com/en/products/acs724llctr-05au-t/allegro-microsystems?region=nac","1.75","Allegro Microsystems","ACS724LLCTR-05AU-T","250-724LLCTR05AUT","https://www.mouser.co.uk/ProductDetail/Allegro-MicroSystems/ACS724LLCTR-05AU-T?qs=pUKx8fyJudC3f6AQOezPDA%3D%3D"
"16","1","IC2","ABX00028","Main_Charge_Controller_Symbols:ABX00028","ChargeController_Main_Library:ABX00028","","","","","","","","",""
