"Source:","C:\Users\Bkb61\OneDrive\Documents\School_Work\Capstone\ChargeController\LT4020_12_BatCharger\LT4020_12_BatCharger.kicad_sch"
"Date:","2/14/2024 2:34:27 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Sim.Device","Sim.Pins","Sim.Type"
"1","2","C_BST1, C_BST2","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"2","1","C_CSN1","0.33u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"3","1","C_CSOUT1","100p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"4","2","C_IN1, C_OUT1","0.1u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"5","2","C_IN2, C_IN3","15u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"6","1","C_intvcc1","2.2u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"7","1","C_OUT2","68u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"8","1","C_pvin1","10u","Device:C","BatChargerFootprints:CAPPRD250W65D630H900","~","","","","","","","","","","",""
"9","1","C_senseB1","68n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"10","1","C_VC1","680p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","",""
"11","3","D1, D2, D3","SBR0560S1Q-7","BatChargerSymbols:SBR0560S1Q-7","BatChargerFootprints:SOD3716X145N","https://www.arrow.com/en/products/sbr0560s1q-7/diodes-incorporated","","SBR0560S1Q-7","https://www.arrow.com/en/products/sbr0560s1q-7/diodes-incorporated?region=nac","1.45","Diodes Incorporated","SBR0560S1Q-7","621-SBR0560S1Q-7","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/SBR0560S1Q-7?qs=4EhzHfbM1GiCOHzHUGtr2w%3D%3D","","",""
"12","1","FL1","PA4339.701NLT","BatChargerSymbols:PA4339.701NLT","BatChargerFootprints:PA4339701NLT","https://componentsearchengine.com/Datasheets/1/PA4339.701NLT.pdf","","PA4339.701NLT","https://www.arrow.com/en/products/pa4339.701nlt/pulse-electronics-corporation?region=nac","3.8","Pulse Electronics","PA4339.701NLT","673-PA4339.701NLT","https://www.mouser.co.uk/ProductDetail/Pulse-Electronics/PA4339.701NLT?qs=byeeYqUIh0MubUfGghqscg%3D%3D","","",""
"13","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2","~","","","","","","","","","","",""
"14","1","IC1","LTC4020EUHF#PBF","BatChargerSymbols:LTC4020EUHF#PBF","BatChargerFootprints:QFN50P500X700X80-39N-D","http://cds.linear.com/docs/en/datasheet/4020fd.pdf","","LTC4020EUHF#PBF","https://www.arrow.com/en/products/ltc4020euhfpbf/analog-devices?region=nac","0.8","Analog Devices","LTC4020EUHF#PBF","N/A","https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA","","",""
"15","1","J1","ChargeController_Main","Connector:Screw_Terminal_01x06","Connector_Wire:SolderWire-1sqmm_1x06_P7.8mm_D1.4mm_OD3.9mm","~","","","","","","","","","","",""
"16","1","Q1","PMOS","Simulation_SPICE:PMOS","BatChargerFootprints:NVD5117PLT4GVF01","https://ngspice.sourceforge.io/docs/ngspice-manual.pdf","","","","","","","","","PMOS","1=D 2=G 3=S","VDMOS"
"17","2","Q2, Q3","SI7272DP-T1-GE3","BatChargerSymbols:SI7272DP-T1-GE3","BatChargerFootprints:SI7288DPT1GE3","https://www.vishay.com/docs/69026/si7272dp.pdf","","SI7272DP-T1-GE3","https://www.arrow.com/en/products/si7272dp-t1-ge3/vishay","","Vishay","SI7272DP-T1-GE3","781-SI7272DP-GE3","https://www.mouser.com/Search/Refine.aspx?Keyword=781-SI7272DP-GE3","","",""
"18","3","R_CS1, R_SENSEA1, R_SENSEB1","0.014","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","",""
"19","2","R_CSN1, R_CSP1","100","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","",""
"20","2","R_FB1, R_FBMAX_2","98.8k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","",""
"21","2","R_FB2, R_FBMAX_1","20k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","",""
"22","1","R_RT1","270k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","",""
"23","1","R_VC1","33k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","~","","","","","","","","","","",""
"24","1","Z1","BZX84C6V2LT116","BatChargerSymbols:BZX84C6V2LT116","BatChargerFootprints:SOT95P240X115-3N","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/zener/bzx84c6v2lt116-e.pdf","","","","1.15","ROHM Semiconductor","BZX84C6V2LT116","755-BZX84C6V2LT116","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BZX84C6V2LT116?qs=4v%252BiZTmLVHH7p%2FgGW5uwkw%3D%3D","","",""
